"VPN SERVICE","JURISDICTION Based In (Country)","JURISDICTION Fourteen Eyes?","JURISDICTION Freedom Status","LOGGING Logs Traffic","LOGGING Logs DNS Requests","LOGGING Logs Timestamps","LOGGING Logs Bandwidth","LOGGING Logs IP Address","ACTIVISM Anonymous Payment Method","ACTIVISM Accepts Bitcoin","ACTIVISM Meets PrivacyTools IO Criteria","LEAK PROTECTION 1st Party DNS Servers","LEAK PROTECTION IPv6 Supported / Blocked","LEAK PROTECTION Kill Switch","PROTOCOLS Offers OpenVPN","PORT BLOCKING Auth SMTP","PORT BLOCKING P2P","SECURITY Weakest Data Encryption","SECURITY Strongest Data Encryption","SECURITY Weakest Handshake Encryption","SECURITY Strongest Handshake Encryption","AVAILABILITY # of Connections","AVAILABILITY # of Countries","AVAILABILITY # of Servers","WEBSITE # of Persistent Cookies","WEBSITE # of External Trackers","WEBSITE # of Proprietary APIs","WEBSITE Server SSL Rating","WEBSITE SSL Cert issued to","PRICING $ / Month (Annual Pricing)","PRICING $ / Connection / Month","PRICING Free Trial","PRICING Refund Period (Days)","ETHICS Contradictory Logging Policies","ETHICS Falsely Claims 100% Effective","ETHICS Incentivizes Social Media Spam","POLICIES Forbids Spam","POLICIES Requires Ethical Copy","POLICIES Requires Full Disclosure","AFFILIATES Practice Ethical Copy","AFFILIATES Give Full Disclosure"
"FreeVPN Ninja","","Not Disclosed","Not Disclosed","","","","","","Yes","Yes","No","No","No","No","Yes","No","No","","","","","25","3","3","0","0","3","A","Self","0.00","0.00","Yes","0","","","","","","","",""
"FrootVPN","Sweden","Fourteen","Free","No","","No","","No","Email","Yes","Yes","No","Yes","No","Yes","Yes","No","","","","","3","5","","3","0","0","A+","Self","3.00","1.00","No","30","","Yes","","No","No","No","",""
"FrostVPN","USA","Five","Free","No","","Yes","Yes","","No","Yes","No","No","No","Yes","Yes","","Some","","","","","3","16","54","3","2","10","A","No SSL Cert","4.99","1.66","No","3","","","","","","","",""
"GetFlix","Canada","Five","Free","","","","","","No","No","No","","No","No","","","","","","","","1","20","26","30","14","32","A","No SSL Cert","2.77","2.77","Yes","0","","","","Yes","Some","No","","No"
"GoTrusted","USA","Five","Free","","","Yes","Yes","","No","No","No","No","No","No","No","Some","","","","","","1","","","2","1","8","B","No SSL Cert","5.99","5.99","Yes","0","","","","No","No","No","",""
"GoVPN","Germany","Fourteen","Free","No","","","","Yes","Email","No","No","No","No","No","No","","","","","","","3","8","27","2","0","0","B","Self","2.50","0.83","Yes","30","Yes","","Yes","","","","",""
"Hide.me","Malaysia","No","Partly Free","No","","","","","Email","Yes","Yes","No","Yes","Yes","Yes","","No","MPPE-128","AES-256","","","5","24","88","3","2","26","A+","Self","11.67","2.33","Yes","14","","Yes","","No","No","No","",""
"HideIPVPN","USA","Five","Free","","","","","No","No","Yes","No","No","No","No","Yes","","Some","","","","","3","5","28","2","1","8","F","Self","7.00","2.33","Yes","30","","","","No","No","No","","No"
"HideMyAss","UK","Five","Free","No","","Yes","Yes","Yes","Email","Yes","No","No","No","No","Yes","Some","No","MPPE-128","AES-256","RSA-RC4","RSA-1024","2","221","923","12","4","","B","Self","6.55","3.28","No","30","","Yes","","Yes","Yes","No","","No"
"Hola!VPN","","Not Disclosed","Not Disclosed","Yes","","Yes","","Yes","Email","No","No","No","No","No","No","","","","","","","1","","","2","0","10","B","Self","5.00","5.00","Yes","30","","","Yes","No","No","No","",""
"Hotspot Shield","Switzerland","No","Free","","","","","Yes","No","Yes","No","No","No","No","No","","","","","","","5","","","1","0","4","F","Self","2.50","0.50","Yes","30","","","","No","No","No","",""
"HotVPN","","Not Disclosed","Not Disclosed","","","","","","Email","Yes","No","No","No","No","Yes","","","","","","","1","","","7","6","10","F","No SSL Cert","8.50","8.50","Yes","7","","Yes","","No","No","No","","No"
"IBVPN","Romania","No","Free","No","","Yes","Yes","","No","Yes","No","Yes","","Yes","Yes","Yes","Some","","Blowfish-256","","","1","43","95","15","9","27","A+","Self","4.08","4.08","Yes","15","Yes","","Yes","No","Some","No","","No"
"IncognitoVPN","USA","Five","Free","No","No","Yes","","Yes","No","No","No","No","No","No","Yes","","","","","","","3","24","35","0","0","5","A","Self","12.44","4.15","No","0","Yes","Yes","","No","No","No","","No"
"In-Disguise","Belize","No","Free","","","","","","Email","Yes","No","No","No","No","Yes","","Some","","","","","1","22","25","1","0","0","A","CloudFlare","6.86","6.86","No","7","","","","","","","",""
"Insorg","","Not Disclosed","Not Disclosed","No","","","","","Email","Yes","Yes","No","No","No","Yes","","","","","","","1","17","17","7","5","4","T","No SSL Cert","15.84","15.84","No","3","","","","No","No","No","",""
"Integrity.st","Sweden","Fourteen","Free","No","","","","No","No","Yes","No","No","No","No","Yes","","","","Blowfish-256","","","","","","0","0","0","A","Self","","","No","0","","","","","","","",""
"Internetz.me","Germany","Fourteen","Free","No","","No","No","","Email","Yes","Yes","No","No","No","Yes","","","","AES-256","","","3","6","17","7","2","5","A+","No SSL Cert","7.16","2.39","No","0","","","","No","No","No","",""
"IPinator","USA","Five","Free","","","","","","No","No","No","No","No","No","Yes","","","","","","","5","12","84","","","18","B","No SSL Cert","6.59","1.32","No","30","","","","No","No","No","","No"
"IPredator","Sweden","Fourteen","Free","","","Yes","","Yes","Email","Yes","No","Yes","Yes","No","Yes","Some","No","","","","","2","1","50","0","0","0","A+","Self","6.56","3.28","Yes","0","","","","","","","",""
"IPVanish","USA","Five","Free","No","","","","","Email","Yes","No","Yes","No","Yes","Yes","Some","No","AES-256","AES-256","","","2","60","500","9","7","20","A","Self","6.49","3.25","No","7","","Yes","","No","No","No","No","No"
"Ironsocket","Hong Kong","No","Partly Free","No","","Yes","Yes","Yes","Email","Yes","Yes","Yes","No","No","Yes","","Some","GRE-128","AES-256","","RSA-2048","3","35","50","3","2","18","A","Self","4.16","1.39","No","7","","","","Some","Some","No","","No"
"Ivacy","Hong Kong","No","Partly Free","No","","","","","No","Yes","No","No","Yes","Yes","Yes","","No","","","","","5","40","250","4","1","11","A","CloudFlare","11.95","2.39","No","7","","","","No","No","No","","No"
"IVPN","Gibraltar","Owned","Free","No","No","No","No","No","Email","Yes","Yes","Yes","Yes","Yes","Yes","No","No","AES-256","AES-256","RSA-4096","RSA-4096","3","12","21","2","0","0","A+","Self","8.34","2.78","Yes","7","","","","Yes","Yes","Yes","","No"
"Kepard","Moldova","No","Partly Free","","","","","","Email","No","No","No","No","No","Yes","Yes","Some","","","","","1","","","4","1","7","A","No SSL Cert","2.90","2.90","No","0","","","","No","No","No","","No"
"LeVPN","Hong Kong","No","Partly Free","No","No","Yes","Yes","Yes","Email","Yes","No","Yes","No","No","Yes","","Some","","AES-256","","","2","114","350","8","2","20","A","Self","4.95","2.48","No","7","","","","No","No","No","","No"
"LibertyShield","UK","Five","Free","","","","","Yes","No","Yes","No","No","No","No","No","","","","","","","1","10","10","9","1","11","C","Self","12.43","12.43","No","1","","","","No","No","No","",""
"LibertyVPN","USA","Five","Free","","","","","","No","No","No","No","No","No","Yes","","Yes","","","","","1","83","","3","2","10","F","Self","8.99","8.99","No","3","Yes","Yes","","No","Some","No","",""
"LimeVPN","Hong Kong","No","Partly Free","No","","Yes","Yes","","No","Yes","No","No","No","Yes","Yes","Some","Some","MPPE-128","AES-256","MS-CHAPv2","RSA-2048","20","10","19","23","11","29","C","No SSL Cert","11.49","0.57","No","7","Yes","","","No","No","No","",""
"LiquidVPN","USA","Five","Free","No","No","","","No","No","Yes","No","Yes","No","No","Yes","","No","AES-256","AES-256","RSA-4096","RSA-4096","4","9","40","2","0","13","A","CloudFlare","5.75","1.44","No","7","","","","No","No","No","","No"
"Lokun","Iceland","No","Free","","","Yes","","","Email","Yes","No","Yes","No","No","Yes","","No","","","","","1","","","","","0","A","Self","","","No","7","","","","","","","",""
"Mullvad","Sweden","Fourteen","Free","No","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","No","AES-256","AES-256","RSA-2048","RSA-2048","3","5","","1","0","0","A+","Self","5.44","1.81","Yes","0","","","","","","","",""
"My Expat Network","UK","Five","Free","","","","","","No","No","No","No","No","No","Yes","","","","","","","3","4","","3","2","9","A","Self","7.00","2.33","No","0","","","","","","","",""
"MyIP.io","USA","Five","Free","No","","","","","No","No","No","No","Yes","No","Yes","","","","","","","1","10","","7","3","2","A","Self","5.99","5.99","Yes","0","","Yes","Yes","","","","",""
"MyPrivateNetwork","Hong Kong","No","Partly Free","","","","","","Email","Yes","No","No","No","No","Yes","","","","AES-256","","","1","32","0","3","1","13","A","Self","7.75","7.75","No","0","","","","Some","No","No","","No"
"MyVPN.Pro","USA","Five","Free","","","","","","Email","No","No","No","No","No","No","","","MPPE-128","AES-256","","","1","","","4","1","2","","No SSL Cert","9.95","9.95","No","0","","","","","","","",""
"Newshosting","USA","Five","Free","No","","","","","No","Yes","No","No","No","No","Yes","","","","AES-256","","","2","","","0","0","21","F","Self","8.25","4.13","Yes","7","","","","Yes","Yes","No","",""
"NEXTGenVPN","Seychelles","No","Partly Free","","","","","","Email","No","No","Yes","No","No","Yes","","Some","","","","","1","11","","11","2","9","C","Self","14.57","14.57","No","0","","Yes","","","","","",""
"NolimitVPN","Singapore","No","Partly Free","No","","Yes","","","Email","No","No","Yes","No","No","No","","No","","","","","3","","","4","1","9","A","CloudFlare","3.65","1.22","Yes","0","","Yes","","No","No","No","",""
"NordVPN","Panama","No","Free","No","","No","No","No","Email","Yes","Yes","Yes","No","Yes","Yes","No","Some","MPPE-128","AES-256","","RSA-2048","6","41","475","5","1","3","A","Self","4.00","0.67","Yes","30","","Yes","","No","No","No","","No"
"NVPN","Bosnia","No","Partly Free","","","","","","Email","Yes","No","No","No","No","Yes","","No","Blowfish-128","AES-256","","","1","34","51","0","1","3","A+","Self","3.34","3.34","No","3","","Yes","","","","","",""
"OctaneVPN","USA","Five","Free","","","No","Yes","No","Email","Yes","No","Yes","No","Yes","Yes","Yes","No","","","","","5","44","108","4","1","7","A","Self","2.50","0.50","No","7","","","","No","No","No","",""
"Opera (Browser) VPN","Norway","Nine","Free","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","","","","","","","25","","","0","1","12","A","No SSL Cert","0.00","0.00","Yes","0","","","","","","","",""
"OverPlay","UK","Five","Free","","","","","","Email","No","No","Yes","No","No","Yes","","No","","","","","1","48","67","","","15","C","Self","8.33","8.33","No","5","","","","Some","Some","No","","No"
"oVPN.se","Sweden","Fourteen","Free","No","No","No","No","No","Email","Yes","Yes","Yes","Yes","Yes","Yes","No","No","AES-256","AES-256","DH-2048","DH-2048","4","2","24","3","1","4","A+","Self","7.61","1.90","Yes","10","","","","","","","",""
"oVPN.to","","Not Disclosed","Not Disclosed","No","","No","No","","Email","Yes","Yes","Yes","","No","Yes","","No","AES-256","AES-256","RSA-4096","RSA-4096","25","12","36","0","0","0","A+","Self","7.30","7.30","No","0","","","","","","","",""
"Perfect Privacy","Switzerland","No","Free","No","","","","No","Email","Yes","Yes","Yes","","Yes","Yes","","Some","","AES-256","","RSA-4096","25","23","41","1","1","7","A+","Self","13.68","0.55","No","7","","","","No","No","No","",""
"PirateParty.ca","Canada","Five","Free","","","","","","No","Yes","No","No","No","No","Yes","","","","","","","1","","","0","0","0","C","Self","10.00","10.00","Yes","0","","","","","","","",""
"Private Internet Access","USA","Five","Free","No","No","No","","No","Email","Yes","No","Yes","Yes","Yes","Yes","Some","No","AES-128","","RSA-2048","RSA-4096","5","24","3,094","2","1","7","A","Self","3.33","0.67","No","7","","","Yes","Some","Yes","Yes","No","No"
"PrivatePackets.io","British Indian Ocean","Owned","Free","","","","","","Email","No","No","","","","Yes","","","","","","","25","7","0","1","0","3","A","Self","5.00","0.20","No","0","","","","","","","",""
"PrivateTunnel","USA","Five","Free","","","","","","No","Yes","No","No","No","No","Yes","","","Blowfish-128","Blowfish-128","","","10","","","3","1","0","A","Self","2.50","0.25","Yes","90","","","","","","","",""
"PrivateVPN","Sweden","Fourteen","Free","","","","","","Email","Yes","No","No","No","No","Yes","","No","","AES-256","DH-2048","DH-2048","4","20","34","8","4","21","A","CloudFlare","7.02","1.76","No","0","","","","No","No","No","",""
"Privatoria.net","Czech Republic","No","Free","No","","No","","No","Yes","Yes","Yes","Yes","Yes","No","Yes","","Some","AES-256","AES-256","","","5","22","22","24","12","12","B","Self","1.90","0.38","Yes","0","","","","No","No","No","",""
"Proxy.sh","Seychelles","No","Partly Free","No","","","","","Email","Yes","Yes","Yes","No","No","Yes","","No","AES-256","AES-256","RSA-4096","RSA-4096","3","40","300","0","0","5","C","Self","10.00","3.33","No","0","","","","No","No","No","","No"
"ProXPN","Netherlands","Nine","Free","No","","No","","No","Email","Yes","Yes","No","No","No","Yes","","","","","","","1","16","21","2","0","16","B","Self","6.25","6.25","Yes","30","","Yes","","","","","","No"
"PRQ","Sweden","Fourteen","Free","","","","","","Email","No","No","Yes","No","No","Yes","","","","","","","1","","","1","1","0","","Self","","","No","0","","","","","","","",""
"PureVPN","Hong Kong","No","Partly Free","No","","Yes","Yes","","No","Yes","No","Yes","Yes","Yes","Yes","No","Some","AES-128","AES-256","","","5","141","500","","","27","A","Self","4.17","0.83","No","7","","","","No","No","No","No","No"
"RA4W VPN","USA","Five","Free","No","","","","","Email","Yes","No","No","No","No","Yes","","","","","","","1","20","31","5","4","13","A","CloudFlare","1.88","1.88","No","0","","Yes","","","","","",""
"RiseupVPN","USA","Five","Free","","","","","No","Yes","Yes","No","Yes","Yes","Yes","Yes","","","AES-128","AES-128","","","25","","","0","0","0","A+","Self","","","No","0","","","","","","","",""
"SaferVPN","USA","Five","Free","No","","Yes","Yes","Yes","Email","Yes","No","No","No","No","Yes","","","","","","","3","24","150","11","2","14","A","Self","8.99","3.00","Yes","14","Yes","","","Yes","Yes","Yes","No","No"
"SecureVPN.com","","Not Disclosed","Not Disclosed","","","","","Yes","No","No","No","No","No","No","Yes","","","","","","","5","6","6","1","1","7","C","Self","5.84","1.17","Yes","0","","Yes","Yes","No","No","No","","No"
"SecureVPN.to","","Not Disclosed","Not Disclosed","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","","No","AES-256","AES-256","RSA-4096","RSA-4096","25","23","34","1","0","0","A+","Self","6.84","0.27","No","0","","","","No","No","No","",""
"SecurityKISS","Ireland","No","Free","","","Yes","Yes","Yes","Email","No","No","Yes","No","No","Yes","","","Blowfish-128","Blowfish-128","RSA-1024","RSA-1024","1","8","54","3","1","2","A-","Self","8.15","8.15","Yes","0","","","","","","","",""
"Seed4me","Taiwan","No","Free","Yes","","Yes","","Yes","Email","Yes","No","No","No","No","No","","Some","","","","","1","","","3","2","11","B","Self","","","No","0","","","","","","","",""
